"chakra-text 4","chakra-text 5","chakra-text 6","chakra-text 7","chakra-text 8","chakra-text 9","chakra-text 10","chakra-text 12","chakra-text 14","chakra-text 16","chakra-image src 3","chakra-button href"
"ر","ح","ق","R","J","G","2563","الدمام","2025-03-13","على السوم","","https://lu7ah.com/show-adds/26605"
"م","ح","ب","Z","J","B","40","القطيف","2025-03-13","على السوم","","https://lu7ah.com/show-adds/26603"
"ب","ل","ب","B","L","B","88","الرياض","2025-03-13","37000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26602"
"س","ق","ق","S","G","G","77","الرياض","2025-03-13","على السوم","","https://lu7ah.com/show-adds/26132"
"ب","ص","ن","B","X","N","3333","الرياض","2025-03-13","على السوم","","https://lu7ah.com/show-adds/26562"
"ق","ح","ل","G","J","L","66","الرياض","2025-03-13","على السوم","","https://lu7ah.com/show-adds/26601"
"ر","أ","ن","R","A","N","3","مكة","2025-03-13","35000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26600"
"أ","م","ل","A","Z","L","2025","الرياض","2025-03-13","على السوم","","https://lu7ah.com/show-adds/26598"
"ل","م","هـ","L","Z","H","999","الرياض","2025-03-13","100000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/22035"
"هـ","ب","ب","H","B","B","44","الرياض","2025-03-13","18000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26597"
"ب","ح","م","B","J","Z","2","الرياض","2025-03-13","50000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26596"
"ص","م","م","X","Z","Z","44","الرياض","2025-03-13","50000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26595"
"ل","ل","د","L","L","D","44","الرياض","2025-03-13","50000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26594"
"ل","ح","م","L","J","Z","18","الرياض","2025-03-13","على السوم","","https://lu7ah.com/show-adds/26593"
"د","ل","ك","D","L","K","18","الرياض","2025-03-13","على السوم","","https://lu7ah.com/show-adds/26592"
"هـ","ر","ب","H","R","B","22","جدة","2025-03-13","50000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26591"
"ح","ص","د","J","X","D","2767","الرياض","2025-03-13","على السوم","","https://lu7ah.com/show-adds/19833"
"م","و","ر","Z","U","R","123","الرياض","2025-03-13","على السوم","","https://lu7ah.com/show-adds/26589"
"د","ن","د","D","N","D","4646","الرياض","2025-03-13","8500","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26588"
"ن","ن","س","N","N","S","96","أخرى","2025-03-12","45000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26587"
"ح","ق","هـ","J","G","H","9898","عنيزة","2025-03-12","على السوم","","https://lu7ah.com/show-adds/26581"
"ب","ع","ق","B","E","G","222","أبها","2025-03-12","19500","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/24321"
"م","ن","و","Z","N","U","776","أبها","2025-03-12","17000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/24322"
"و","ط","ح","U","T","J","205","أبها","2025-03-12","على السوم","","https://lu7ah.com/show-adds/26410"
"هـ","هـ","ن","H","H","N","25","جدة","2025-03-12","19000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/24323"
"م","ن","ر","Z","N","R","252","الرياض","2025-03-12","على السوم","","https://lu7ah.com/show-adds/23157"
"أ","و","س","A","U","S","4","الرياض","2025-03-12","34000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/22830"
"م","ح","م","Z","J","Z","858","الرياض","2025-03-12","على السوم","","https://lu7ah.com/show-adds/26346"
"م","ى","ى","Z","V","V","222","الرياض","2025-03-12","على السوم","","https://lu7ah.com/show-adds/25178"
"هـ","د","د","H","D","D","408","حائل","2025-03-12","على السوم","","https://lu7ah.com/show-adds/26586"
"ط","ك","ص","T","K","X","1","الرياض","2025-03-12","320000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/23582"
"ر","ك","ن","R","K","N","992","الرياض","2025-03-12","22000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/25717"
"ص","ع","ى","X","E","V","111","الرياض","2025-03-12","35000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/25136"
"ر","ن","د","R","N","D","1919","الرياض","2025-03-12","8000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/25815"
"ر","ن","أ","R","N","A","1234","الرياض","2025-03-12","10000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/25816"
"ب","هـ","ى","B","H","V","76","الرياض","2025-03-12","13500","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/23464"
"ك","هـ","ق","K","H","G","35","الرياض","2025-03-12","13500","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/23463"
"ر","هـ","م","R","H","Z","9966","الرياض","2025-03-12","6500","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26578"
"ر","م","س","R","Z","S","26","الرياض","2025-03-12","19000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26585"
"م","ى","ى","Z","V","V","224","الدمام","2025-03-12","20000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/25037"
"ص","ن","و","X","N","U","33","الخبر","2025-03-12","22000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/25698"
"هـ","هـ","ق","H","H","G","37","الدمام","2025-03-12","على السوم","","https://lu7ah.com/show-adds/26487"
"ح","ى","ل","J","V","L","2006","بريدة","2025-03-12","9000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26584"
"د","ل","ع","D","L","E","7767","الخبر","2025-03-12","على السوم","","https://lu7ah.com/show-adds/26364"
"س","ك","ر","S","K","R","598","الخبر","2025-03-12","على السوم","","https://lu7ah.com/show-adds/25682"
"م","ى","ى","Z","V","V","47","الخبر","2025-03-12","30000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/23969"
"م","و","ن","Z","U","N","113","الدمام","2025-03-12","18000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26405"
"ق","م","ر","G","Z","R","406","الدمام","2025-03-12","28000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/25914"
"ن","ن","ن","N","N","N","408","الدمام","2025-03-12","30000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26404"
"ح","م","ر","J","Z","R","35","الدمام","2025-03-12","35000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26403"
"ل","هـ","ق","L","H","G","22","الدمام","2025-03-12","23000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/25686"
"ح","ح","ح","J","J","J","6572","الدمام","2025-03-12","6000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/25299"
"م","ى","ى","Z","V","V","167","الدمام","2025-03-12","13000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/25202"
"ب","أ","ق","B","A","G","7797","الدمام","2025-03-12","على السوم","","https://lu7ah.com/show-adds/26583"
"ح","ى","ن","J","V","N","5155","الرياض","2025-03-12","3000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26546"
"ك","ص","أ","K","X","A","222","الخرج","2025-03-12","على السوم","","https://lu7ah.com/show-adds/26582"
"أ","م","ن","A","Z","N","787","الرياض","2025-03-12","على السوم","","https://lu7ah.com/show-adds/15640"
"ل","ب","ب","L","B","B","6","جدة","2025-03-12","على السوم","","https://lu7ah.com/show-adds/24828"
"س","هـ","ر","S","H","R","800","الرياض","2025-03-12","على السوم","","https://lu7ah.com/show-adds/25106"
"أ","م","ل","A","Z","L","2025","الرياض","2025-03-12","على السوم","","https://lu7ah.com/show-adds/26580"
"ر","ب","م","R","B","Z","4444","الرياض","2025-03-12","23000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26579"
"ر","هـ","م","R","H","Z","1400","الرياض","2025-03-12","4500","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26297"
"ن","ل","هـ","N","L","H","0550","تبوك","2025-03-12","على السوم","","https://lu7ah.com/show-adds/26577"
"ر","م","ر","R","Z","R","3444","الرياض","2025-03-12","على السوم","","https://lu7ah.com/show-adds/25222"
"ب","ح","ر","B","J","R","1003","الرياض","2025-03-12","على السوم","","https://lu7ah.com/show-adds/26039"
"ل","ع","ع","L","E","E","12","الرياض","2025-03-12","25000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26336"
"س","ل","م","S","L","Z","776","الرياض","2025-03-12","على السوم","","https://lu7ah.com/show-adds/26576"
"م","و","ى","Z","U","V","999","الرياض","2025-03-12","55000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26575"
"ن","هـ","ى","N","H","V","58","مكة","2025-03-12","على السوم","","https://lu7ah.com/show-adds/15445"
"هـ","هـ","هـ","H","H","H","110","الدمام","2025-03-12","على السوم","","https://lu7ah.com/show-adds/23690"
"ل","ع","ح","L","E","J","211","جدة","2025-03-12","على السوم","","https://lu7ah.com/show-adds/25169"
"ب","ن","ى","B","N","V","51","جدة","2025-03-12","13000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26326"
"ر","ب","أ","R","B","A","7731","الرياض","2025-03-12","3500","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/25971"
"ر","ن","و","R","N","U","9929","الرياض","2025-03-12","12000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/25651"
"ر","ن","ق","R","N","G","2024","الرياض","2025-03-12","10000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/23719"
"ل","ن","ط","L","N","T","61","الطائف","2025-03-12","12000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26573"
"د","ح","ك","D","J","K","2006","عرعر","2025-03-12","8000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26278"
"ر","هـ","ع","R","H","E","7727","الهفوف","2025-03-12","على السوم","","https://lu7ah.com/show-adds/26571"
"ص","ص","ص","X","X","X","109","جدة","2025-03-12","21500","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26570"
"ب","هـ","ب","B","H","B","8","جدة","2025-03-12","99000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/23129"
"و","ل","ص","U","L","X","88","جدة","2025-03-12","22000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26559"
"س","هـ","م","S","H","Z","703","جدة","2025-03-12","20000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/25812"
"أ","و","ل","A","U","L","7843","حائل","2025-03-12","على السوم","","https://lu7ah.com/show-adds/26569"
"ع","أ","د","E","A","D","32","جدة","2025-03-12","على السوم","","https://lu7ah.com/show-adds/25280"
"ح","ى","هـ","J","V","H","6555","الرياض","2025-03-12","على السوم","","https://lu7ah.com/show-adds/26567"
"د","ع","د","D","E","D","640","الرياض","2025-03-12","على السوم","","https://lu7ah.com/show-adds/26566"
"ص","و","ك","X","U","K","69","الدمام","2025-03-12","18000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26301"
"أ","ر","ب","A","R","B","75","الرياض","2025-03-11","15500","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/25897"
"ر","ر","ر","R","R","R","872","الرياض","2025-03-11","على السوم","","https://lu7ah.com/show-adds/20972"
"هـ","د","ى","H","D","V","245","الرياض","2025-03-11","على السوم","","https://lu7ah.com/show-adds/26564"
"ب","ط","ى","B","T","V","6","الرياض","2025-03-11","22500","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26563"
"ح","ر","ق","J","R","G","52","جدة","2025-03-11","على السوم","","https://lu7ah.com/show-adds/26281"
"أ","أ","أ","A","A","A","7044","جدة","2025-03-11","على السوم","","https://lu7ah.com/show-adds/26362"
"أ","س","د","A","S","D","1558","أبها","2025-03-11","على السوم","","https://lu7ah.com/show-adds/26561"
"ب","ع","ب","B","E","B","7773","الرياض","2025-03-11","على السوم","","https://lu7ah.com/show-adds/26250"
"ص","د","ص","X","D","X","2","الرياض","2025-03-11","200000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26477"
"ى","ر","ر","V","R","R","76","جدة","2025-03-11","على السوم","","https://lu7ah.com/show-adds/25668"
"ر","أ","س","R","A","S","5004","الرياض","2025-03-11","على السوم","","https://lu7ah.com/show-adds/21477"
"أ","أ","هـ","A","A","H","7999","الرياض","2025-03-11","على السوم","","https://lu7ah.com/show-adds/20444"
"ر","أ","ك","R","A","K","6451","الرياض","2025-03-11","على السوم","","https://lu7ah.com/show-adds/26556"
"د","ح","م","D","J","Z","8857","الرياض","2025-03-11","على السوم","","https://lu7ah.com/show-adds/24628"
"أ","م","ل","A","Z","L","2898","الرياض","2025-03-11","على السوم","","https://lu7ah.com/show-adds/24251"
"د","ل","و","D","L","U","2","الرياض","2025-03-11","على السوم","","https://lu7ah.com/show-adds/26361"
"ع","ر","ب","E","R","B","167","المدينة","2025-03-11","12000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26554"
"ب","ك","ى","B","K","V","2023","الرياض","2025-03-11","على السوم","","https://lu7ah.com/show-adds/26553"
"و","ن","ر","U","N","R","776","الرياض","2025-03-11","على السوم","","https://lu7ah.com/show-adds/26552"
"أ","ب","م","A","B","Z","2221","نجران","2025-03-11","على السوم","","https://lu7ah.com/show-adds/21147"
"ب","ر","و","B","R","U","101","تبوك","2025-03-11","على السوم","","https://lu7ah.com/show-adds/15485"
"هـ","ب","هـ","H","B","H","953","جازان","2025-03-11","15000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/25700"
"ر","و","ح","R","U","J","775","الرياض","2025-03-11","20000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26549"
"ص","ح","ق","X","J","G","710","الرياض","2025-03-11","على السوم","","https://lu7ah.com/show-adds/25029"
"ص","ى","ن","X","V","N","11","المدينة","2025-03-11","55000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26548"
"أ","ل","أ","A","L","A","3689","جدة","2025-03-11","على السوم","","https://lu7ah.com/show-adds/23894"
"ر","و","ق","R","U","G","600","الرياض","2025-03-11","على السوم","","https://lu7ah.com/show-adds/25595"
"ع","و","د","E","U","D","302","الخبر","2025-03-11","على السوم","","https://lu7ah.com/show-adds/26485"
"ح","ى","ن","J","V","N","5155","الرياض","2025-03-11","على السوم","","https://lu7ah.com/show-adds/26099"
"ص","ر","ح","X","R","J","94","الرياض","2025-03-11","على السوم","","https://lu7ah.com/show-adds/23296"
"ح","ر","ب","J","R","B","7159","الرياض","2025-03-11","5000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/11554"
"ب","د","ر","B","D","R","277","جدة","2025-03-11","45000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26544"
"د","و","س","D","U","S","7511","ينبع","2025-03-10","على السوم","","https://lu7ah.com/show-adds/26543"
"ع","ع","م","E","E","Z","505","الرياض","2025-03-10","على السوم","","https://lu7ah.com/show-adds/26542"
"ع","م","م","E","Z","Z","505","الرياض","2025-03-10","على السوم","","https://lu7ah.com/show-adds/26541"
"ب","ر","و","B","R","U","29","الرياض","2025-03-10","35000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26539"
"ر","أ","س","R","A","S","1991","الرياض","2025-03-10","11000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26538"
"أ","م","ل","A","Z","L","2","جدة","2025-03-10","85000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26537"
"ح","ط","أ","J","T","A","7770","الرياض","2025-03-10","6000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26536"
"د","ص","ط","D","X","T","77","المبرز","2025-03-10","16000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26535"
"و","و","ب","U","U","B","11","جدة","2025-03-10","60000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/23473"
"د","هـ","د","D","H","D","7779","الجبيل","2025-03-10","5000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/24140"
"هـ","د","ن","H","D","N","682","الرياض","2025-03-10","على السوم","","https://lu7ah.com/show-adds/6324"
"ر","م","هـ","R","Z","H","4464","جدة","2025-03-10","5000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26533"
"ب","ص","ر","B","X","R","1415","عرعر","2025-03-10","على السوم","","https://lu7ah.com/show-adds/26531"
"أ","ل","أ","A","L","A","3636","الرياض","2025-03-10","على السوم","","https://lu7ah.com/show-adds/24648"
"س","ل","ط","S","L","T","377","الرياض","2025-03-10","22000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26527"
"ى","ق","ل","V","G","L","334","الرياض","2025-03-10","7000","https://lu7ah.com/static/media/Saudi_Currency.870d72a680b48459afbce3c33c7e56af.svg","https://lu7ah.com/show-adds/26469"
"ح","ح","س","J","J","S","2500","الرياض","2025-03-10","على السوم","","https://lu7ah.com/show-adds/22716"
