char_ar,char_en,char1_ar,char2_ar,char3_ar,char1_en,char2_en,char3_en,plate_no,price,class,plate_no_length,similar_digits,sepcial_date,saudi_tribes,One Digit,Two Digits (Same),Two Digits (Different),Three Digits (Same),Three Digits (Different),Four Digits (Same),Four Digits (Different),emergency_no,in_order,reversed_order,same_middles_no,plaindromic_no,same_first_last_no,same_two_sides,one_digit_zero,one_digit_one,one_digit_two,one_digit_three,one_digit_four,one_digit_five,one_digit_six,one_digit_seven,one_digit_eight,one_digit_nine,is_triple_letters,is_one_letters,First_Third_Match,is_sequence,Contains_Tribe,contains_special_words,contains_special_cars,connect_12,connect_23,combined_word,word_freq_score,first_name_rank,result
أ أ أ,A A A,أ,أ,أ,A,A,A,5654,10000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,أأأ,25.927523727351165,0.0,True
أ أ أ,A A A,أ,أ,أ,A,A,A,6235,9000,برونزي,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,أأأ,25.927523727351165,0.0,True
أ أ أ,A A A,أ,أ,أ,A,A,A,6404,10000,برونزي,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,أأأ,25.927523727351165,0.0,True
أ أ أ,A A A,أ,أ,أ,A,A,A,6932,5000,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,أأأ,25.927523727351165,0.0,True
أ أ أ,A A A,أ,أ,أ,A,A,A,6956,10000,برونزي,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,أأأ,25.927523727351165,0.0,True
أ أ أ,A A A,أ,أ,أ,A,A,A,7544,9000,برونزي,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,أأأ,25.927523727351165,0.0,True
أ أ أ,A A A,أ,أ,أ,A,A,A,7546,3500,برونزي,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,أأأ,25.927523727351165,0.0,True
أ أ أ,A A A,أ,أ,أ,A,A,A,7550,9000,برونزي,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,أأأ,25.927523727351165,0.0,True
أ أ أ,A A A,أ,أ,أ,A,A,A,7617,10000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,أأأ,25.927523727351165,0.0,True
أ أ ب,B A A,أ,أ,ب,A,A,B,667,16000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أأب,0.0,0.0,True
أ أ س,S A A,أ,أ,س,A,A,S,70,17000,,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أأس,0.0,0.0,True
أ أ س,S A A,أ,أ,س,A,A,S,570,10000,,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أأس,0.0,0.0,True
أ أ ط,T A A,أ,أ,ط,A,A,T,8882,30000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أأط,0.0,0.0,True
أ أ ع,E A A,أ,أ,ع,A,A,E,6666,15000,,4,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أأع,0.0,0.0,True
أ أ ك,K A A,أ,أ,ك,A,A,K,1009,9000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أأك,0.0,0.0,True
أ أ ل,L A A,أ,أ,ل,A,A,L,775,5500,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أأل,3.710094909404659,0.0,True
أ أ م,Z A A,أ,أ,م,A,A,Z,3333,15000,,4,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أأم,0.0,0.0,True
أ أ م,Z A A,أ,أ,م,A,A,Z,8683,2050,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أأم,0.0,0.0,True
أ أ ن,N A A,أ,أ,ن,A,A,N,22,28000,,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أأن,31.449525452976708,0.0,True
أ أ ن,N A A,أ,أ,ن,A,A,N,300,14000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أأن,31.449525452976708,0.0,True
أ أ ن,N A A,أ,أ,ن,A,A,N,3300,5000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أأن,31.449525452976708,0.0,True
أ أ ى,V A A,أ,أ,ى,A,A,V,2323,15000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أأى,9.620362381363243,0.0,True
أ ب أ,A B A,أ,ب,أ,A,B,A,707,15500,,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,أبأ,85.33218291630716,86.71875,True
أ ب ر,R B A,أ,ب,ر,A,B,R,86,20000,,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أبر,78.34339948231234,78.49702380952381,True
أ ب س,S B A,أ,ب,س,A,B,S,4404,9000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أبس,0.0,0.0,True
أ ب ع,E B A,أ,ب,ع,A,B,E,9888,9000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أبع,0.0,0.0,True
أ ب ق,G B A,أ,ب,ق,A,B,G,3,70000,,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أبق,44.13287316652286,0.0,True
أ ب ل,L B A,أ,ب,ل,A,B,L,8188,25000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أبل,70.75064710957723,47.65625,True
أ ب ل,L B A,أ,ب,ل,A,B,L,9230,3000,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أبل,70.75064710957723,47.65625,True
أ ب م,Z B A,أ,ب,م,A,B,Z,20,60000,,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أبم,0.0,5.133928571428571,True
أ ب م,Z B A,أ,ب,م,A,B,Z,6669,5500,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أبم,0.0,5.133928571428571,True
أ ب ن,N B A,أ,ب,ن,A,B,N,88,30000,,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أبن,98.05867126833478,94.64285714285714,True
أ ب و,U B A,أ,ب,و,A,B,U,5,200000,,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,أبو,96.63503019844694,100.0,True
أ ح أ,A J A,أ,ح,أ,A,J,A,55,30000,,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,أحأ,42.01898188093184,7.886904761904762,True
أ ح أ,A J A,أ,ح,أ,A,J,A,5775,8000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,أحأ,42.01898188093184,7.886904761904762,True
أ ح ب,B J A,أ,ح,ب,A,J,B,39,50000,,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أحب,93.52890422778258,80.65476190476191,True
أ ح ب,B J A,أ,ح,ب,A,J,B,156,11000,,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أحب,93.52890422778258,80.65476190476191,True
أ ح ب,B J A,أ,ح,ب,A,J,B,197,10000,,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أحب,93.52890422778258,80.65476190476191,True
أ ح ب,B J A,أ,ح,ب,A,J,B,500,15000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أحب,93.52890422778258,80.65476190476191,True
أ ح ب,B J A,أ,ح,ب,A,J,B,640,25000,,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أحب,93.52890422778258,80.65476190476191,True
أ ح ب,B J A,أ,ح,ب,A,J,B,1066,20000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أحب,93.52890422778258,80.65476190476191,True
أ ح ب,B J A,أ,ح,ب,A,J,B,1225,5200,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أحب,93.52890422778258,80.65476190476191,True
أ ح ب,B J A,أ,ح,ب,A,J,B,9337,5000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أحب,93.52890422778258,80.65476190476191,True
أ ح ب,A J B,أ,ح,ب,B,J,A,343,15000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أحب,93.52890422778258,80.65476190476191,True
أ ح ح,J J A,أ,ح,ح,A,J,J,3837,10000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أحح,38.43830888697153,0.0,True
أ ح س,S J A,أ,ح,س,A,J,S,100,35000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أحس,85.15962036238136,0.0,True
أ ح س,S J A,أ,ح,س,A,J,S,9400,2500,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أحس,85.15962036238136,0.0,True
أ ح س,S J A,أ,ح,س,A,J,S,9992,5000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أحس,85.15962036238136,0.0,True
أ ح ص,X J A,أ,ح,ص,A,J,X,1,98000,,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أحص,0.0,0.0,True
أ ح ك,K J A,أ,ح,ك,A,J,K,3378,10000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أحك,6.9025021570319245,0.0,True
أ ح م,Z J A,أ,ح,م,A,J,Z,1113,5000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أحم,51.76876617773944,85.86309523809523,True
أ ح ن,N J A,أ,ح,ن,A,J,N,6622,10000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أحن,70.57808455565142,23.8467261904762,True
أ د أ,A D A,أ,د,أ,A,D,A,1446,1500,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,أدأ,57.46333045729077,1.8973214285714284,True
أ د ب,B D A,أ,د,ب,A,D,B,414,6000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أدب,75.40983606557377,31.10119047619048,True
أ د ب,B D A,أ,د,ب,A,D,B,2442,6000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أدب,75.40983606557377,31.10119047619048,True
أ د ب,B D A,أ,د,ب,A,D,B,3355,5000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أدب,75.40983606557377,31.10119047619048,True
أ د ب,B D A,أ,د,ب,A,D,B,9099,12000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أدب,75.40983606557377,31.10119047619048,True
أ د س,S D A,أ,د,س,A,D,S,5000,7500,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أدس,0.0,0.0,True
أ د س,A D S,أ,د,س,S,D,A,44,28000,,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أدس,0.0,0.0,True
أ د ق,G D A,أ,د,ق,A,D,G,8000,17000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أدق,57.76531492666091,0.0,True
أ د ق,G D A,أ,د,ق,A,D,G,9000,3000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أدق,57.76531492666091,0.0,True
أ د ق,G D A,أ,د,ق,A,D,G,9777,3500,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أدق,57.76531492666091,0.0,True
أ د ه,H D A,أ,د,ه,A,D,H,800,18000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أده,39.387402933563415,0.0,True
أ د و,U D A,أ,د,و,A,D,U,1911,20000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أدو,0.0,38.02083333333333,True
أ د ى,V D A,أ,د,ى,A,D,V,3000,10000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أدى,84.85763589301122,27.79017857142857,True
أ ر ب,B R A,أ,ر,ب,A,R,B,75,15500,,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أرب,33.95168248490077,15.327380952380953,True
أ ر ب,B R A,أ,ر,ب,A,R,B,911,5000,,3,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أرب,33.95168248490077,15.327380952380953,True
أ ر ر,R R A,أ,ر,ر,A,R,R,9993,6000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أرر,0.0,0.0,True
أ ر ص,X R A,أ,ر,ص,A,R,X,3003,4000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أرص,0.0,0.0,True
أ ر ص,A R X,أ,ر,ص,X,R,A,33,20000,,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أرص,0.0,0.0,True
أ ر ق,G R A,أ,ر,ق,A,R,G,6662,10000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أرق,53.45125107851596,12.909226190476192,True
أ ر ك,K R A,أ,ر,ك,A,R,K,777,30000,,3,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أرك,29.85332182916307,0.0,True
أ ر ل,L R A,أ,ر,ل,A,R,L,555,28000,,3,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أرل,0.0,0.0,True
أ ر ى,V R A,أ,ر,ى,A,R,V,888,28000,,3,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أرى,80.11216566005177,0.0,True
أ ر ى,V R A,أ,ر,ى,A,R,V,4000,15000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أرى,80.11216566005177,0.0,True
أ س د,D S A,أ,س,د,A,S,D,186,15000,,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أسد,70.06039689387403,94.86607142857144,True
أ س د,D S A,أ,س,د,A,S,D,188,80000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أسد,70.06039689387403,94.86607142857144,True
أ س د,D S A,أ,س,د,A,S,D,369,15000,,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أسد,70.06039689387403,94.86607142857144,True
أ س د,D S A,أ,س,د,A,S,D,423,15400,,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أسد,70.06039689387403,94.86607142857144,True
أ س د,D S A,أ,س,د,A,S,D,496,25000,,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أسد,70.06039689387403,94.86607142857144,True
أ س د,D S A,أ,س,د,A,S,D,998,100000,,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أسد,70.06039689387403,94.86607142857144,True
أ س د,D S A,أ,س,د,A,S,D,1417,10000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أسد,70.06039689387403,94.86607142857144,True
أ س د,D S A,أ,س,د,A,S,D,3618,3700,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أسد,70.06039689387403,94.86607142857144,True
أ س د,D S A,أ,س,د,A,S,D,4404,15499,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أسد,70.06039689387403,94.86607142857144,True
أ س د,D S A,أ,س,د,A,S,D,4449,17500,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أسد,70.06039689387403,94.86607142857144,True
أ س د,D S A,أ,س,د,A,S,D,4733,5900,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أسد,70.06039689387403,94.86607142857144,True
أ س د,D S A,أ,س,د,A,S,D,7441,6400,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أسد,70.06039689387403,94.86607142857144,True
أ س د,D S A,أ,س,د,A,S,D,8814,10000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أسد,70.06039689387403,94.86607142857144,True
أ س د,D S A,أ,س,د,A,S,D,9291,4500,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أسد,70.06039689387403,94.86607142857144,True
أ س د,A S D,أ,س,د,D,S,A,6324,3800,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أسد,70.06039689387403,94.86607142857144,True
أ س س,S S A,أ,س,س,A,S,S,2030,300000,,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أسس,76.48835202761,27.79017857142857,True
أ س س,S S A,أ,س,س,A,S,S,9992,15000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أسس,76.48835202761,27.79017857142857,True
أ س ك,K S A,أ,س,ك,A,S,K,4800,10000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,أسك,9.749784296807592,0.0,True
أ ص ب,B X A,أ,ص,ب,A,X,B,3999,5000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,أصب,6.557377049180328,0.0,True
